Position (bp)	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20
17	36.076708301994	36.1083347063232	36.0562600764577	36.0978858659474	36.0826650559619	36.1094790738472	36.0932399592457	36.0966742643976	36.1105394141426	36.144962117632	36.0925082772663	36.105252967828	36.1465023951888	36.1026319131525	36.1322630960265	36.1170501559484	36.1246973699273	36.0333286240949	36.0251847326655	26.0910189456773
22	35.8544574792201	35.8772011572289	35.8302783241102	35.8286471648562	35.8283841720123	35.8779952184705	35.9884836052122	35.9287273233612	35.916503893753	35.8365710756446	35.8536730316797	35.8836821155673	35.8456699874844	35.8768508701943	35.8810681742407	35.8929584033853	35.7553421046049	35.6251300094566	35.6425483260366	25.704782782905
27	35.2921538086917	35.2537852035088	35.2293437923136	35.1958343353241	35.2351341434226	35.2973682112492	35.6030935497506	35.4580823495784	35.4118158857092	35.1344649289033	35.2725301890904	35.3490357270938	35.1136677668554	35.3033927853839	35.2537974494951	35.3298551315282	35.2637849860602	35.0620735066987	34.9448118368322	25.1803683956056
32	35.0059814526553	34.9199048921262	34.9174201737846	34.8760448087755	34.9356833380745	34.9809196289342	35.4206833782826	35.2227605295182	35.1455984242786	34.7653860433053	34.9858546389257	35.0713625562515	34.7118794968949	35.0288681673037	34.924662096597	35.0366981170607	34.9948590269829	34.7543354193397	34.3856678653133	24.8866034547824
37	34.7638387164276	34.6284964723761	34.6374453727906	34.6276076511537	34.6842026505835	34.7407003909689	35.2685851981691	35.0400354460315	34.9410526880594	34.4711338071554	34.7479429513425	34.8469798570057	34.3783485146091	34.7879227277651	34.6490328091628	34.7934583901594	34.8076451506611	34.5371024654952	33.9384176862086	24.6930578687292
42	34.6416907824773	34.4812664650772	34.5098484962727	34.4916542379709	34.5603862320271	34.6346893265549	35.1735149216689	34.9660009016913	34.842648415362	34.3931044326847	34.6325630753572	34.7328405640222	34.194265522861	34.6900051628899	34.5175056754866	34.6715710965391	34.6515460521575	34.392966028507	33.6155016447074	24.5562967336215
47	34.5059778952585	34.2648049307811	34.3410580713654	34.336990029321	34.4014991119687	34.5680354640046	35.0728961715272	34.8771874237453	34.7904849133683	34.3246571995839	34.4894645910464	34.6387923208315	33.8646006139589	34.5598928737746	34.3527945894035	34.5324268423126	34.370595164552	34.074606476191	33.2924491947869	24.2753611081069
52	34.3155270299336	34.0425483230033	34.1026265564833	34.1198529220456	34.1945067828269	34.435225234767	34.9571393684	34.7583422667987	34.6713818183883	34.1605848130524	34.285368546013	34.4958605732619	33.5857980198524	34.379866969098	34.1568969305421	34.3382689659564	34.1583405720428	33.7881373294451	33.0465201529474	24.0502736184927
57	34.0939102826635	33.8203484014653	33.8506783377336	33.8229914302783	33.9507620939646	34.2503621120146	34.8091529642715	34.5535564535297	34.5147648083301	33.9315697171884	34.0367894295078	34.3252249698	33.2906113665838	34.1550362025723	33.9215590370013	34.1174917852084	33.9030447640333	33.5480186747559	32.7094475721617	23.7836737508288
62	33.8561165303537	33.5870780720457	33.6200074634842	33.5594169459081	33.7083659575814	34.0505989260123	34.6461971014754	34.3686449889278	34.3211706449642	33.7103469444094	33.7894607944219	34.1449217388367	33.0257131585559	33.9558049005243	33.7104564981267	33.8894047042241	33.6772960641267	33.2928901555795	32.3978825421812	23.5430469172328
67	33.7280870265448	33.4734333801302	33.4983602035193	33.3930775987254	33.5822904854234	33.9353491156292	34.5539992537754	34.2673729237393	34.2039925071928	33.6190019230499	33.664688198656	34.071006555668	32.9121434557421	33.8677588519169	33.618752933547	33.7695645439615	33.6214051097883	33.219460079692	32.1648311927906	23.4836848690773
72	33.6011089959356	33.3645499579174	33.360742676263	33.2614666417416	33.4358768664022	33.8369270302936	34.478267840275	34.186994859862	34.1107585989978	33.5193947679941	33.5209012023061	33.9814176888685	32.7696672894626	33.7428444281663	33.5050321509353	33.6347517185293	33.4811983572048	33.0697849542299	31.9909368255226	23.3381659844919
77	33.3969857768276	33.2303401289612	33.1759333162035	33.0704495821567	33.2614025863766	33.6636569037144	34.373749458968	34.0746746683391	33.937740053872	33.3111924687563	33.3003055873341	33.7790940396779	32.638344953374	33.5507906992898	33.336864975793	33.4310869222245	33.3693791408872	32.9665562201784	31.8657142069345	23.2457162540693
82	33.3195724952679	33.1646897724543	33.108960057707	32.9805457637435	33.1794153204005	33.6142959741538	34.331835904848	34.0362967611107	33.8891951675969	33.2992504191563	33.2226526442369	33.7396245315373	32.5653659033064	33.4964724635065	33.2797213930783	33.3615667208422	33.305852054662	32.9114439979532	31.727670999317	23.187607774354
